iter	RMSE
0	10.06561388
1	9.699212207
2	9.367271956
3	9.049852348
4	8.738591942
5	8.448203307
6	8.172842549
7	7.900839123
8	7.63315018
9	7.377077651
10	7.129604951
11	6.88647786
12	6.646825842
13	6.42896994
14	6.217635291
15	6.025892263
16	5.821012592
17	5.628165602
18	5.443783045
19	5.266154918
20	5.0888952
21	4.924068821
22	4.773188704
23	4.623026056
24	4.483615295
25	4.348708172
26	4.215945523
27	4.086199729
28	3.969045994
29	3.856939778
30	3.742357724
31	3.638156573
32	3.524879982
33	3.417457669
34	3.324718798
35	3.225600849
36	3.129734058
37	3.04469669
38	2.959565746
39	2.875324496
40	2.799857673
41	2.734767475
42	2.658256262
43	2.587625253
44	2.523517052
45	2.460077636
46	2.406287061
47	2.352605031
48	2.296112515
49	2.241791019
50	2.190334454
51	2.140734434
52	2.095284283
53	2.051560452
54	2.012236822
55	1.97235893
56	1.932711064
57	1.897839731
58	1.861377868
59	1.827767419
60	1.79704244
61	1.766971214
62	1.73780537
63	1.712735153
64	1.68847721
65	1.66269505
66	1.639790582
67	1.617679532
68	1.59671231
69	1.57500367
70	1.556105729
71	1.540335881
72	1.523529695
73	1.507310856
74	1.489534952
75	1.477399187
76	1.462068201
77	1.448027857
78	1.436229277
79	1.422209208
80	1.408118777
81	1.397139714
82	1.387310682
83	1.375510793
84	1.366033914
85	1.354732096
86	1.346970757
87	1.336320812
88	1.329271452
89	1.320107315
90	1.312176194
91	1.305475816
92	1.297615528
93	1.290378124
94	1.284508891
95	1.279979974
96	1.273461762
97	1.266708989
98	1.260901927
99	1.25354697
100	1.247065733
101	1.242026447
102	1.237390122
103	1.232118674
104	1.226938724
105	1.223086668
106	1.218658506
107	1.213888565
108	1.209465425
109	1.20610137
110	1.203693432
111	1.199609631
112	1.195899151
113	1.192555201
114	1.189804077
115	1.18651532
116	1.182973899
117	1.179264227
118	1.175420204
119	1.172886729
120	1.169984962
121	1.167718922
122	1.163899167
123	1.161593439
124	1.158807364
125	1.156044727
126	1.153305144
127	1.151183496
128	1.148471976
129	1.145898989
130	1.142993897
131	1.140908866
132	1.137519275
133	1.136166587
134	1.134332657
135	1.131052376
136	1.128967026
137	1.126267875
138	1.124081322
139	1.122126908
140	1.12018854
141	1.118025134
142	1.115116494
143	1.112288366
144	1.109459233
145	1.107572357
146	1.106230129
147	1.103754921
148	1.099129243
149	1.096971484
150	1.095055478
151	1.093205046
152	1.090660443
153	1.08889346
154	1.086777493
155	1.084705795
156	1.082654903
157	1.080012124
158	1.077317787
159	1.076294183
160	1.074271878
161	1.072390564
162	1.06961226
163	1.066623847
164	1.064822966
165	1.063201449
166	1.060999951
167	1.059090791
168	1.057460326
169	1.056156218
170	1.053223826
171	1.051794409
172	1.04996723
173	1.048839905
174	1.047916298
175	1.045823776
176	1.043943959
177	1.041406687
178	1.041219294
179	1.039766122
180	1.037046878
181	1.034122934
182	1.031676736
183	1.030240402
184	1.028162414
185	1.025886031
186	1.024519208
187	1.022607046
188	1.021224869
189	1.019386021
190	1.016110863
191	1.014819962
192	1.013305507
193	1.009435185
194	1.005400865
195	1.003185764
196	1.000484396
197	0.9972062199
198	0.9957210503
199	0.9938089011
200	0.9911810014
201	0.9888440709
202	0.9874868794
203	0.9865086655
204	0.9851428377
205	0.9829390121
206	0.9806987747
207	0.9781545117
208	0.974918517
209	0.9732935617
210	0.9706217636
211	0.9684265303
212	0.9660188664
213	0.9643138516
214	0.962844278
215	0.9611480193
216	0.9592181457
217	0.956186499
218	0.9548554594
219	0.952734687
220	0.9505986924
221	0.9481704574
222	0.9461270739
223	0.9444230395
224	0.942266406
225	0.9408750646
226	0.9390075146
227	0.9378650246
228	0.9363290846
229	0.9346890308
230	0.9324716287
231	0.9294417771
232	0.9285924582
233	0.9283234337
234	0.9271253336
235	0.9264346572
236	0.9250530009
237	0.9239656419
238	0.9214325716
239	0.9192761712
240	0.9170947581
241	0.9153743497
242	0.9134345511
243	0.9117449123
244	0.9101189181
245	0.9085516906
246	0.9068150136
247	0.9054851833
248	0.9051546567
249	0.9048404281
250	0.9039671829
251	0.9020373562
252	0.8999987169
253	0.8986681538
254	0.897303878
255	0.8952030576
256	0.8944961496
257	0.892710315
258	0.8906576893
259	0.8904369774
260	0.8884499632
261	0.8870897818
262	0.8867335453
263	0.8857835283
264	0.8844104179
265	0.8832964113
266	0.8819218223
267	0.8805246395
268	0.880180016
269	0.8777861297
270	0.8769507818
271	0.8752747252
272	0.8749739306
273	0.87466519
274	0.8734119317
275	0.8723551235
276	0.8706841161
277	0.8676801466
278	0.8664007579
279	0.8656651414
280	0.8653612163
281	0.8636823163
282	0.8633356185
283	0.8630854805
284	0.8616306162
285	0.8614612027
286	0.8612062588
287	0.8601896923
288	0.8600467753
289	0.8582428112
290	0.8567696121
291	0.8561554422
292	0.8538231111
293	0.85299626
294	0.8522796822
295	0.8514853611
296	0.8501248258
297	0.8497713683
298	0.848791353
299	0.8470530079
300	0.8457350457
301	0.8447663893
302	0.8435122629
303	0.8421675849
304	0.8405756176
305	0.8379960549
306	0.8371260619
307	0.8352639277
308	0.8337295356
309	0.8322775765
310	0.8309590407
311	0.8295171679
312	0.8287384275
313	0.8284934037
314	0.8271286774
315	0.8259243781
316	0.8254954485
317	0.8242735274
318	0.8225895592
319	0.8217046383
320	0.8204234405
321	0.8202226407
322	0.8197726302
323	0.8192343015
324	0.8184018024
325	0.8171912398
326	0.8154115736
327	0.8149560831
328	0.8139017407
329	0.8131132568
330	0.8114487829
331	0.8097562474
332	0.8083620713
333	0.8077726401
334	0.8065713395
335	0.8056889827
336	0.8042266362
337	0.8025091075
338	0.8016336634
339	0.8008933496
340	0.8000356986
341	0.7995766771
342	0.7981989868
343	0.7973560075
344	0.796641438
345	0.7949074989
346	0.7929734346
347	0.7922287799
348	0.7910718666
349	0.7902190147
350	0.7890401574
351	0.7884170403
352	0.788306098
353	0.7870929246
354	0.7866773006
355	0.7861857679
356	0.7852318622
357	0.7848866362
358	0.7839703095
359	0.7837340401
360	0.7828524298
361	0.7827520308
362	0.7816481357
363	0.7806680139
364	0.7804356712
365	0.7787160671
366	0.7778123565
367	0.7769985159
368	0.7768916406
369	0.775833549
370	0.7745885958
371	0.7744972495
372	0.7740514899
373	0.7720433406
374	0.7709625244
375	0.7698422461
376	0.7695043992
377	0.7689741884
378	0.7686374206
379	0.7670262196
380	0.7662968904
381	0.7649306381
382	0.7646831028
383	0.7638979742
384	0.7624184878
385	0.7618175222
386	0.761001895
387	0.7598435145
388	0.7588323291
389	0.7582836594
390	0.7579577601
391	0.7572830247
392	0.7561892094
393	0.7561026629
394	0.75437104
395	0.753719845
396	0.75335842
397	0.7520302122
398	0.7508803704
399	0.7505058082
400	0.749750069
401	0.7486809316
402	0.7482076774
403	0.7480193312
404	0.747359956
405	0.7466265674
406	0.7448312615
407	0.7441698877
408	0.743183198
409	0.7422442549
410	0.7411934498
411	0.7405584337
412	0.7405011035
413	0.739167024
414	0.7390602187
415	0.7383680021
416	0.7378460707
417	0.7373274306
418	0.7372420201
419	0.7364170788
420	0.735218413
421	0.7339762505
422	0.733033379
423	0.7324255381
424	0.7311175143
425	0.7305150279
426	0.7297400638
427	0.7289420502
428	0.728567976
429	0.7280810791
430	0.7270762911
431	0.7265179058
432	0.7262998503
433	0.7255004965
434	0.7249765033
435	0.7236159141
436	0.7229980014
437	0.7225822122
438	0.7218564919
439	0.721526551
440	0.7205569212
441	0.7199020783
442	0.7190371933
443	0.7189829044
444	0.7188875719
445	0.7179945648
446	0.7171869569
447	0.7158582105
448	0.7154786656
449	0.7154330912
450	0.7151044584
451	0.7146624649
452	0.7131187052
453	0.7124702768
454	0.7122756785
