feature_importance,feature_name
21.543071612938736,numeric_preprocess__high
14.327236925477072,numeric_preprocess__close
13.447628862580874,numeric_preprocess__low
7.702470126804246,numeric_preprocess__open
4.35091087809932,numeric_preprocess__max_high_9s
2.8419935498154087,numeric_preprocess__std_money_flow_26s
2.719581668648857,numeric_preprocess__macd
2.6512858712428584,numeric_preprocess__mean_open_9s
2.0888798929375523,numeric_preprocess__mean_low_9s
2.024683782779954,numeric_preprocess__min_low_9s
1.9604586737600798,numeric_preprocess__mean_close_9s
1.3320529681322655,numeric_preprocess__mean_money_flow_26s
1.2343396311320853,numeric_preprocess__day
1.1779648594043535,numeric_preprocess__money_flow
1.1506281668736569,numeric_preprocess__mean_open_52s
1.1011092553971424,numeric_preprocess__macd_signal
0.9044384220820271,numeric_preprocess__Phai thu khach hang
0.8298034187932928,numeric_preprocess__week
0.7596030074248107,numeric_preprocess__No dai han
0.7399756950568577,numeric_preprocess__TR
0.7321406900499311,numeric_preprocess__dayofweek
0.7021803693418058,numeric_preprocess__ATR_14s
0.6964792300139679,numeric_preprocess__mean_high_26s
0.687494050341784,numeric_preprocess__mean_high_9s
0.613562971211264,numeric_preprocess__mean_volume_52s
0.5892057078286047,numeric_preprocess__Loi nhuan tu hoat dong kinh doanh truoc thay doi von  luu dong
0.584764610403478,numeric_preprocess__mean_low_26s
0.5571866003358631,numeric_preprocess__min_low_26s
0.5522919898945798,numeric_preprocess__mean_close_26s
0.48477090126446515,numeric_preprocess__std_close_9s
0.4755813180475525,numeric_preprocess__month
0.47126743439466684,numeric_preprocess__No ngan han
0.4548528883472414,numeric_preprocess__RSI
0.4248481531892477,numeric_preprocess__std_money_flow_9s
0.40622684555943234,numeric_preprocess__mean_money_flow_9s
0.39853424571490687,numeric_preprocess__max_high_26s
0.3950186354427865,numeric_preprocess__Loi nhuan sau thue thu nhap doanh nghiep
0.3914844381896025,numeric_preprocess__mean_open_26s
0.3827082485872331,numeric_preprocess__mean_high_52s
0.3776798676676049,numeric_preprocess__mean_money_flow_52s
0.37150877873793325,numeric_preprocess__std_close_26s
0.3626027867970546,numeric_preprocess__min_low_52s
0.3520447425946795,numeric_preprocess__TONG CONG TAI SAN
0.29924646903867447,numeric_preprocess__Doanh thu thuan
0.28692962472648137,numeric_preprocess__ROAA 
0.2772904915523211,numeric_preprocess__mean_close_52s
0.2679438581392111,numeric_preprocess__TONG CONG NGUON VON
0.26626776693095017,numeric_preprocess__Gia von hang ban
0.22962572481241078,numeric_preprocess__std_close_52s
0.22683748158104622,numeric_preprocess__volume
0.19742603068341338,numeric_preprocess__std_money_flow_52s
0.17662009509999396,numeric_preprocess__mean_volume_9s
0.1568665268931314,category_columns__symbol_NKG
0.15124902751041927,numeric_preprocess__No phai tra
0.14063918406440337,numeric_preprocess__Hang ton kho
0.1401097173412761,numeric_preprocess__Loi nhuan gop
0.1378447611946446,numeric_preprocess__mean_low_52s
0.12937814749942278,numeric_preprocess__mean_volume_26s
0.1160756942642256,numeric_preprocess__quarter
0.10702404125358732,category_columns__symbol_HSG
0.10313707275814818,numeric_preprocess__max_high_52s
0.09347030798830303,numeric_preprocess__ROAE 
0.09144764911105528,numeric_preprocess__Von chu so huu
0.03709470426214466,numeric_preprocess__Luu chuyen tien thuan tu hoat dong kinh doanh
0.014922849957626185,category_columns__symbol_HPG
